55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:05:46.0 (149984)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:05:46.0 (183965)|EXECUTION_STARTED
12:05:46.0 (192825)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:05:46.0 (519583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:05:46.0 (561744)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:05:46.0 (566934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:05:46.0 (593345)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:05:46.0 (598425)|STATEMENT_EXECUTE|[1]
12:05:46.0 (604355)|STATEMENT_EXECUTE|[1]
12:05:46.0 (637946)|HEAP_ALLOCATE|[68]|Bytes:5
12:05:46.0 (675877)|HEAP_ALLOCATE|[74]|Bytes:5
12:05:46.0 (687917)|HEAP_ALLOCATE|[82]|Bytes:7
12:05:46.0 (705267)|HEAP_ALLOCATE|[3]|Bytes:5
12:05:46.0 (709847)|STATEMENT_EXECUTE|[3]
12:05:46.0 (713188)|HEAP_ALLOCATE|[3]|Bytes:12
12:05:46.0 (755689)|HEAP_ALLOCATE|[3]|Bytes:10
12:05:46.0 (789449)|HEAP_ALLOCATE|[3]|Bytes:4
12:05:46.0 (857611)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:05:46.0 (871801)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:05:46.0 (876902)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:46.0 (887322)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:05:46.0 (894542)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:05:46.0 (897692)|STATEMENT_EXECUTE|[15]
12:05:46.0 (903752)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:05:46.0 (908862)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:46.0 (935603)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:05:46.0 (942983)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:05:46.0 (979474)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x541ec879
12:05:46.0 (985404)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:05:46.0 (1112807)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:05:46.0 (1119078)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:05:46.0 (1287182)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01tIe000000UWWIIA4"},"RMD_Product__c":"01tIe000000UWWIIA4","Id":"801Ie000001KMfwIAG","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":65.0,"RMD_workflow_Invocable__c":false}]|0x67f5edad
12:05:46.0 (1306372)|HEAP_ALLOCATE|[44]|Bytes:5
12:05:46.0 (1312332)|STATEMENT_EXECUTE|[43]
12:05:46.0 (1314792)|STATEMENT_EXECUTE|[44]
12:05:46.0 (1318732)|HEAP_ALLOCATE|[44]|Bytes:13
12:05:46.0 (1420605)|HEAP_ALLOCATE|[44]|Bytes:200
12:05:46.0 (1442565)|HEAP_ALLOCATE|[44]|Bytes:213
12:05:46.0 (1459756)|USER_DEBUG|[44]|DEBUG|the scope -->(Order:{Id=801Ie000001KMfwIAG, RMD_Create_Renewal_Lead__c=false, RMD_Renewal_Lead_Created__c=false, RMD_workflow_Invocable__c=false, Days_to_Expire_Formula__c=65.0, RMD_Product__c=01tIe000000UWWIIA4})
12:05:46.0 (1468626)|STATEMENT_EXECUTE|[45]
12:05:46.0 (1473446)|VARIABLE_SCOPE_BEGIN|[45]|oListToUpdate|List<Order>|true|false
