55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:05:46.0 (136873)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
12:05:46.0 (166174)|EXECUTION_STARTED
12:05:46.0 (176304)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation
12:05:46.0 (500092)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:57
12:05:46.0 (542793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
12:05:46.0 (548293)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
12:05:46.0 (576654)|METHOD_ENTRY|[1]|01p2t000000kCuX|RMDBatchUpdateOrderRenewalLeadCreation.RMDBatchUpdateOrderRenewalLeadCreation()
12:05:46.0 (581844)|STATEMENT_EXECUTE|[1]
12:05:46.0 (588734)|STATEMENT_EXECUTE|[1]
12:05:46.0 (625355)|HEAP_ALLOCATE|[68]|Bytes:5
12:05:46.0 (666356)|HEAP_ALLOCATE|[74]|Bytes:5
12:05:46.0 (677016)|HEAP_ALLOCATE|[82]|Bytes:7
12:05:46.0 (695177)|HEAP_ALLOCATE|[3]|Bytes:5
12:05:46.0 (699877)|STATEMENT_EXECUTE|[3]
12:05:46.0 (703277)|HEAP_ALLOCATE|[3]|Bytes:12
12:05:46.0 (748168)|HEAP_ALLOCATE|[3]|Bytes:10
12:05:46.0 (783589)|HEAP_ALLOCATE|[3]|Bytes:4
12:05:46.0 (843460)|VARIABLE_ASSIGNMENT|[3]|RMDBatchUpdateOrderRenewalLeadCreation.oEndDate|"2022-12-31T00:00:00.000Z"
12:05:46.0 (857041)|METHOD_EXIT|[1]|RMDBatchUpdateOrderRenewalLeadCreation
12:05:46.0 (862511)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:46.0 (873581)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
12:05:46.0 (880631)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
12:05:46.0 (883861)|STATEMENT_EXECUTE|[15]
12:05:46.0 (890202)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
12:05:46.0 (895272)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:05:46.0 (925042)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:05:46.0 (932753)|VARIABLE_SCOPE_BEGIN|[43]|this|RMDBatchUpdateOrderRenewalLeadCreation|true|false
12:05:46.0 (1004294)|VARIABLE_ASSIGNMENT|[43]|this|{"k":0}|0x2963cd80
12:05:46.0 (1013425)|VARIABLE_SCOPE_BEGIN|[43]|bc|Database.BatchableContext|true|false
12:05:46.0 (1144398)|VARIABLE_ASSIGNMENT|[43]|bc|{"childJobId":"707e200000p40h4AAA","jobId":"707e200000p3gsLAAQ"}|0x6ccd5909
12:05:46.0 (1151618)|VARIABLE_SCOPE_BEGIN|[43]|orderList|List<Order>|true|false
12:05:46.0 (1327472)|VARIABLE_ASSIGNMENT|[43]|orderList|[{"RMD_Create_Renewal_Lead__c":false,"RMD_Product__r":{"RMD_Difference_from_Farthest_ValidityEnd__c":163.0,"Id":"01t2t000000NX7jAAG"},"RMD_Product__c":"01t2t000000NX7jAAG","Id":"801Ie000001KJLkIAO","RMD_Renewal_Lead_Created__c":false,"Days_to_Expire_Formula__c":71.0,"RMD_workflow_Invocable__c":false}]|0x7bd820bc
12:05:46.0 (1347653)|HEAP_ALLOCATE|[44]|Bytes:5
12:05:46.0 (1353583)|STATEMENT_EXECUTE|[43]
12:05:46.0 (1355973)|STATEMENT_EXECUTE|[44]
12:05:46.0 (1359043)|HEAP_ALLOCATE|[44]|Bytes:13
12:05:46.0 (1454185)|HEAP_ALLOCATE|[44]|Bytes:200
12:05:46.0 (1472966)|HEAP_ALLOCATE|[44]|Bytes:213
